time,average_usage
1.45768E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45768E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45769E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4577E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45771E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45772E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45773E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45774E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45775E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45776E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45776E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45776E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45776E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45776E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45777E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45778E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45779E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4578E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45781E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45782E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45783E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45784E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45784E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45784E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
